length	nc=1,nr=2	nc=2,nr=2	nc=1,nr=4	nc=2,nr=4
1	3.86391e-05	0.000145986	4.86839e-05	0.000149167
10	9.27925e-07	0.000143238	8.44955e-07	0.000157278
100	9.36031e-07	0.000174741	8.74043e-07	0.000180299
1000	1.59812e-06	0.000504643	1.69492e-06	0.000501711
10000	6.79398e-06	0.00210718	6.82116e-06	0.00215018
100000	4.79572e-05	0.0177914	3.93472e-05	0.0298052
1000000	0.000320813	0.170733	0.000336072	0.309102
